2026-05-15T04:51:56Z	C1-B-iw	r1a	BUILD	builder	Unit C1-B r1a (localStorage 基础) build done: use-persisted-job hook + page 集成; 7 vitest 测试; tsc clean; eslint clean
2026-05-15T23:25:46Z	B1-iw	r1	PASS	0.7	AI 工作台合并 PASS（acc 7/7 + tsc 0 new + vitest 1171/1171 0 regression + readFile 路径变更断言契约 100% 保留）	04bc427
2026-05-15T23:27:00Z	B2-iw	r1	BUILD	builder	Unit B2 build done: /api/teacher/study-buddy/posts 加 courseId filter + PendingQuestionsList 新 section + AlertDialog 删除 + 13 vitest; tsc 0 / vitest 1184 / lint 0; 0 regression. Worktree 5 unit 全完成.
2026-05-15T13:05:00Z	codex-p1	r1	PASS	qa-codex-security	Codex-P1 r1 PASS (2 P1 security gaps 修复): 12 case QA 独立 spec 全过 + 7/7 builder spec (Bug1-B serial NextAuth race isolated 单跑 PASS 已知模式) - Bug 1 adaptive-quiz/next: A1 alex A班 自班 POST 200 keys=[done,nextQuestion,progress] / B1 student5 B班 跨班 403 FORBIDDEN response={"success":false,"error":{"code":"FORBIDDEN","message":"权限不足"}} 不含 "深度测试"/"prompt"/"nextQuestion" leak / C1 alex A班 task 配 B taskId instance (伪造) 403 + "任务实例与任务不匹配" 双校验 / D1 缺/空字符串/非UUID 三种 → 400 VALIDATION_ERROR / E1 不存在 UUID → 404 "任务实例不存在" 非 500 / Bug 2 SB 自由问 courseId: A1 alex+A班courseId 201 / B1 alex+B班courseId 403 COURSE_ACCESS_DENIED "你不在该课程的班级，无法关联此课程" / C1 不传 courseId 201 admin-bin 兜底 / D1 student5+A班courseId 对称 403 / E1 失败attempt 不污染 DB 验证 list 无 unique title; tsc 0 / vitest 96 files 1094 tests baseline 不变 / lint 0 error; commit 489aa8e 5 files +215/-2 scope match; Schema 0 改动 / 不需 Prisma 三步; cross-module: quiz-adaptive-runner.tsx:110-111 客户端 fetch body wired taskInstanceId 配套修 prod 不挂 / api-utils:62-63 COURSE_ACCESS_DENIED 403 映射 / study-buddy.service:70-88 Prisma Course.OR{classId, classes.some.classId} 二路与 teacherCourseFilter 对称; assertTaskInstanceReadable strict 不 opt-in (active 答题 strict); DB cleanup: hard-delete 8 SB posts (builder 4 + QA 4 soft-hidden DELETE → hideStudyBuddyPost) + AuditLog 还原 baseline; security: vertical access control 双层 (assertTaskInstanceReadable 班级 + instance.taskId 防伪造) + FORBIDDEN 不 leak 题目内容	489aa8e
2026-05-15T15:40:00Z	codex-p1-r2	r1	PASS	qa-codex-r2	Codex-P1-r2 r1 PASS (3 P1: 1 false positive 注释 + 2 real fixes): 13 QA case + 6 builder case = 19/19 PASS - P1-3 quiz-questions/check: A1 alex A班 200 returns {correct:false correctOptionIds:[C]} 引擎正常 / B1 student5 B班 403 {success:false,error:{code:FORBIDDEN,message:权限不足}} 不含 correctOptionIds/correctAnswer leak / C1 缺/空/非UUID 三种 400 VALIDATION_ERROR / D1 别 task question + A 班 instance 403 "题目与任务实例不匹配" 双校验 / E1 fake instance 404 "任务实例不存在" 非 500 / F1 fake question 404 "题目不存在" / P1-2 SB createPost 服务端权威 courseId: A1 alex taskId + bogus B 班 courseId 201 stored=e6fc049c (instance A 班 反推) ≠ client B 班 bogus / B1 alex taskId + 合法 A 班 940bbe23 仍被服务端 e6fc049c 覆盖 server-authoritative regardless / C1 重复 bogus 路径同款 / P1-1 r1 regression: A1 next 200 / B1 next 缺 instanceId 400 r1 修不被 r2 误改; tsc 0 / vitest 96 files 1094 tests baseline 不变 / lint 0 error; commit 36aca56 5 files +221/-19 scope match; Schema 0 改动; cross-module: quiz-adaptive-runner client wire taskInstanceId L110-111 (next) + L180-185 (check); P1-3 双校验链 assertTaskInstanceReadable + instance.taskId === question.taskId; P1-2 server-authoritative — client supplied courseId (即使合法) 也被 instance.courseId 覆盖; DB cleanup: 5 SB QA posts hard-delete (builder 2 + QA 3 soft-hidden DELETE→hideStudyBuddyPost) 还原 baseline	36aca56
2026-05-15T19:00:00Z	codex-p1-r3	r1	PASS	qa-codex-r3	Codex-P1-r3 r1 PASS: 10/10 (7 QA + 3 builder) 真浏览器 case - createPost taskId 分支加 classId scope 防多班复用泄漏 - R3-A alex A 班 task 201 post.courseId=940bbe23 SQL 校验关联 A 班 / R3-B (核心) 注入 B 班 instance 复用 A_CLASS_TASK B 班 courseId=00000000...a202 → server stored 940bbe23 (A 班 instance.courseId) ≠ B 班注入值 class scope 生效 / R3-E 同上 + client 同时 supplies bogus courseId 双重污染 server 仍 A 班 940bbe23 任何 client 输入被服务端 overlay / R3-C/D alex 用 B_ONLY_TASK 403 assertTaskReadable 先拦 / R3-F adaptive-quiz/next regression / R3-G 自由问 + courseId regression; tsc 0 / vitest 96 files 1094 tests baseline 不变 / lint 0 error; commit c8b3137 2 files +163/-5 scope match; Schema 0 改动; Finding 1 (minor, 不阻塞): builder spec runSql RETURNING id 在 e2e 失败时 finally 清理脆弱 — 我清理前 DB 有 3 个历史 orphan B 班 instance (CODEX-P1-r3-test-B-class-instance) 建议 title-based 防御性 sweep; Finding 2 (QA self-corrected): A_CLASS_TASK 多班复用是设计 不是 A 班 only - 已修 QA-R3-D 用 B_ONLY_TASK; DB cleanup: 8 SB posts + 2 注入 instance + 8 audit log hard-delete A_CLASS_TASK instances 还原 1 (A 班 only)	c8b3137
2026-05-15T19:25:00Z	unit-fb1	r1	PASS	qa-fb1-task-config	Unit-FB1 r1 PASS: 14/14 (9 QA + 5 builder) 真浏览器 case - instance 详情页融合任务配置折叠区 + 编辑入口 + returnTo 闭环 - A1 折叠卡 visible aria-expanded=false read-only 概览 badge 默认收起 / A2 展开 fetch /api/tasks/{id} 显示 任务名/类型测验badge/测验配置=模式=adaptive·题数=10·时长=—分钟/评分维度 + Link href=/teacher/tasks/{id}?edit=true&returnTo=2026-05-15T19:25:00Z	unit-fb1	r1	PASS	qa-fb1-task-config	Unit-FB1 r1 PASS: 14/14 (9 QA + 5 builder) 真浏览器 case - instance 详情页融合任务配置折叠区 + 编辑入口 + returnTo 闭环 - A1 折叠卡 visible aria-expanded=false read-only 概览 badge 默认收起 / A2 展开 fetch /api/tasks/{id} 显示 任务名/类型测验badge/测验配置=模式=adaptive·题数=10·时长=—分钟/评分维度 + Link href=/teacher/tasks/{id}?edit=true&returnTo=%2Fteacher%2Finstances%2F{id} encoded / A3 真浏览器跳转 URL 含 edit=true+returnTo / A4 取消按钮真 redirect 回 instance 闭环 / A5 无 returnTo 直访 取消停在 task fallback / 安全 A6 returnTo=https://evil.example.com 取消后 pathname=/teacher/tasks/{id} 不跳外站 / A7 returnTo=/admin/users 取消后停在 task 不跳 /admin / A8 returnTo=//evil.com protocol-relative 不跳; tsc 0 / vitest 96 files 1094 tests baseline / lint 0 error; commit 045cf22 4 files +432/-0 scope match; Schema 0 改动; 方案 B 链接式 不抽 shared component; Unit 4 高危 dialog+audit 100% 复用; returnTo.startsWith(/teacher/) 三攻击向量全堵; 截图 .harness/screenshots/unit-fb1-verify/A2-expanded.png 折叠卡置 overview tab 顶部交付漏斗之上; Note: builder e2e A2 serial NextAuth race isolated 单跑 PASS 已知模式; QA 自纠正 url.toContain → new URL().pathname 安全断言更精确; API 路径 /api/tasks/{id} 验证 fetch 成功 (body 含 深度测试)	045cf22
2026-05-15T22:35:00Z	codex-p1-r4	r1	PASS	qa-codex-r4	Codex-P1-r4 r1 PASS: 13/13 (10 QA + 3 builder) 真浏览器 case - P1 SB over-match 删除 task-level fallback OR (cross-course block) + P2 TaskBuildDraft 原子化 publish (prisma.$transaction + conditional update where status=approved) - P1-A teacher2 不见 teacher1 课程 post + teacher1 positive / P1-B 兼容性 pre-Unit6 post courseId=null 但 taskInstanceId set 仍 visible 通过 taskInstance.courseId filter / P1-C 兼容性 free-form post courseId=teacher1 visible via post.courseId filter / P1-D cross-course free-form 不 leak 给 teacher2 / P2-A builder 1 win 1 lose statuses=[201,400] code=TASK_BUILD_DRAFT_NOT_APPROVED_FOR_PUBLISH DB 1 task+1 instance / QA-P2-A 3 并发 stress [201,400,400] 同款 / P2-B 已 published draft 二次 publish 被拒 / P2-C 未 approve (ready) 被拒 / P2-D fake draftId code=NOT_FOUND (getTaskBuildDraft 先拦) / Regression scope=pending/answered 仍工作 + 单 publish 仍 201 + draft flip; tsc 0 / vitest 96 files 1094 tests baseline (3 unit test 适配 markTaskBuildDraftPublished 新行为) / lint 0 error; commit 7ffff91 7 files +686/-71 + 4 docs scope match; Schema 0 改动 dev server 已重启; cross-module: createPublishedTaskWithInstanceInTransaction tx-aware 单一职责 / with-task route prisma.$transaction 包整体 atomic / 手工 enqueue tagger 在 route (避免嵌套 tx) 加注释; DB cleanup deterministic: 0 leftover SB posts / instances / tasks / drafts; Note: analytics/route.ts:33 同款 over-match pattern (builder 留 follow-up codex 没提) 安全影响小 assertCourseAccess 锁单 courseId 但仍是 leak 建议跟进 PR; Note: TASK_BUILD_DRAFT_NOT_FOUND 映射为 code:NOT_FOUND 是 notFound helper 历史设计不影响安全; QA-P2-D self-correction 接受 NOT_FOUND
2026-05-16T06:45:00Z	pr1-smoke	r1	FAIL	qa-pr1-smoke	PR-1 A 5 主线 smoke r1 FAIL 4/5: smoke-01 subjective payload 缺 prompt+含无效 wordLimit / smoke-02 simulation payload 缺 scenario+openingLine+含无效 rounds+timeLimitSeconds / smoke-03 同 01 (subjective) / smoke-04 list shape contract bug spec 读 data.items 但 API 返 data:[array] + _setup.ts:88 cleanupSmokeSbPosts 同款解析错误导致 cleanup 不工作 staging 残留 SB post 我手动清理 6 个 / smoke-05 PASS admin trigger weekly-insight 200 success 4 teachers ok 含 teacher1+molly+admin+teacher2 满足 acceptance; 根因: candidate A 自测时未 PLAYWRIGHT_BASE_URL=http://localhost:3000 真跑过 5 spec 导致 payload schema mismatch 留到 CI/QA; CI staging-deploy job 也 fail (10m21s) 与我本地结果完全一致; 修法 < 10 行 diff per spec 不重 plan 回 builder r2; tsc/vitest/lint 跑成本 N/A (QA scope=e2e on staging); 4 失败截图+playwright log .harness/screenshots/pr1-qa-smoke/ 6 个残留 SB post staging hard-delete; staging side-effect zero 残留 audit append-only by design	-
2026-05-16T14:45	qa-pr1-regression	r1	FAIL	1.5h	A 候选 staging Playwright 红 (4 spec payload bug, smoke QA r1 同源); D/E/I+J 三候选 + vitest baseline 1099/1099 全 PASS	-
2026-05-16T07:10:00Z	pr1-smoke	r2	PASS	qa-pr1-smoke	PR-1 A 5 主线 smoke r2 PASS 5/5 (Run 1 19.5s + Run 2 15.0s idempotent on staging.finsim.anlanai.cn @ c86f996) - 01 subjective POST 201 prompt 字段已加 / 02 sim POST 201 scenario+openingLine + student-先-login getOwnClassId class-match + transcript field + 提交 201 / 03 subjective + class-match + manual grade 200 + release 200 + Number(score) Decimal 归一化 / 04 SB list shape (data ?? []) + create 201 / 05 weekly-insight 4 teachers ok (regression PASS); CI staging-deploy job 25955477054 GREEN 16/16 tests 2.8m 含 5 主线+4 pr1_qa_regression+6 pr1_schema-cleanup_verify+1 sanity 与我本地一致; r2 build report 验证 r1 5 P0 + 4 hidden bug 全修; P2 minor cleanup race: CI smoke-01 偶发留 1 task (taskInstance.count 与 deleteTask 检查存在 race + helper .catch(()=>{}) 静默吞错) 我已手动 hard-delete 不阻塞 PR-1 建议后续 PR 加 retry / log warning / 软删; DB cleanup deterministic: 0 task / 0 instance / 0 submission / 0 visible SB post 2 hidden SB post (audit append-only by design); 8 dim check: spec/browser/cross-module/finsim-specific/code-patterns 全 PASS · tsc+vitest N/A (QA scope=e2e staging) · security N/A 不动 auth/perm 但 student-class-match 实际收紧覆盖 assertTaskInstanceReadable	c86f996
2026-05-25T02:11:00Z	course-archive-u1	r1	PASS	qa	U1 PASS: schema deletedAt(nullable)+idx / ContentBlock.chapterId RESTRICT→Cascade(SQL confdeltype=c 核对; Section.courseId+ContentBlock.courseId 保留=r 待U2 purge) / P2003→FK_CONSTRAINT_FAILED 409 中文; tsc 0 / vitest 1191 全绿(首跑4失败=U2 RED 非U1已复跑0回归) / 真浏览器 teacher1 DELETE 含section+block章节 HTTP200 success + DB cascade chapterGone+sectionCascaded+blockCascaded+courseSurvives / Prisma三步完整(webpack:3003页面200) / migration纯additive共享DB安全; 观察:无UI按钮调chapters DELETE端点(修复在service+schema层端点无关已真HTTP验), dev NEXTAUTH_URL:3030 quirk非代码; fixture已清0 leftover	-
2026-05-25T02:18:00Z	course-archive-u2	r1	PASS	qa	U2 PASS: archive/restore/purge/getArchivedCourses + owner-or-admin 守卫 + confirmTitle 强确认 + audit; tsc 0 / vitest 1191 全绿(+23 测试 0 回归); 真HTTP teacher1 全矩阵: archive 带chapter+instance→200(无HAS_*闸) / restore→200 / GET archived→200 count=1 allArchived deletedAt≠null / purge wrong title→400 PURGE_TITLE_MISMATCH中文 / purge empty→400 VALIDATION / purge correct→200 counts{ch1,sec1,inst1} / 他人课程 archive·restore·purge→403 FORBIDDEN(owner守卫先于title); §8 purge 真DB证明 15节点全null+Task模板存活(builder脚本复跑PASS + QA fixture HTTP purge后DB核对级联+Task survive); anti-regression: deleteCourse 0真调用方(grep全仓 false-positive only) DELETE路由已同步archiveCourse; 3新Route Handler薄包装中文错误经handleServiceError; 边界:未验全站消失(U3) + D6 outline-apply真路径补验(spec§11新增待U4/单独轮); fixture全清(含他人owner Course B)0 leftover 活跃课程9=基线	-
2026-05-25T02:30:00Z	course-archive-u3	r1	PASS	qa	U3 PASS(最高风险防诈尸): F3集中过滤(teacherCourseFilter/courseClassFilter=AND[scope,deletedAt:null], teacherCourseScope拆出供回收站, getArchivedCourses改用scope) + Bucket1老师面OR分支补闸 + Bucket2学生dashboard+F2grades + Bucket4 F1两守卫学生分支拒已归档 + Bucket5显式by-id不加闸; tsc0/vitest1199全绿(+7守卫测试, 6处where-shape断言更新均真行为变化非弱化); 真浏览器双角色HTTP矩阵: teacher归档后列表6→5+实例26→25+dashboard courseHit/instHit/annHit/slotHit/subHit全false+SB/announcements不含+archived含; 学生归档后dashboard全false+grades不含+F1直链instance403+course403; 恢复后学生instance直链200+grades回归+dashboard回归(证明可逆非死锁); R1真DB脚本复跑PASS全消失/恢复回归; cross-module F3一处生效逐endpoint真HTTP验无泄漏; 阻塞观察(非U3归U4): /teacher/courses页面崩500 RecycleBinDialog is not defined(page.tsx:577 U4回收站UI WIP, U3不碰此页, API/service层U3过滤正常)已flag builder待U4收尾真浏览器补页面级; fixture(A班+实例+提交+公告)已purge 0 leftover 活跃课程9=基线	-
2026-05-25T02:40:00Z	course-archive-u4	r1	PASS	qa	U4 PASS(UI 回收站+归档按钮+D6真路径): 真浏览器 teacher1 全流程 — /teacher/courses 渲染200 头部回收站入口+6卡删除按钮去hasContent禁用均可点; 删除→归档确认弹窗(可恢复文案非不可恢复)→课程消失+DB deletedAt SET; 回收站列已归档+恢复→POST /restore 200 DB deletedAt null 课程回列表; 彻底删除弹窗title-confirm门 空/错禁用·精确名启用→DELETE /purge 200 DB courseGone+0孤儿; spec§11 D6真路径补验: replace模式outline-apply删含小节+内容块无实例章节→200 DB chapterB+section+block级联删/chapterA保留(证U1 FK修复覆盖真实用户路径非仅raw端点); 保留守卫: 给章节加任务实例后replace删→400 OUTLINE_REPLACE_BLOCKED中文(spec§11要求保留未破坏); tsc0/vitest1202全绿0回归; 观察: 恢复后reload一次性500=Next dev HMR(stale)噪声非代码缺陷下次reload200; 遗留3个e2e .spec断言旧禁用删除行为不入CI(vitest只拾.test.ts)建议team-lead定夺更新/删除; 详情页删除文案可能仍写不可恢复待裁决; 预存bug page.tsx:1141待裁决; fixture(ZZQA+ZZD6含全后代)全purge 0 leftover 活跃9=基线	-
2026-05-25T02:48:00Z	course-archive-u5	r1	PASS	qa	U5 PASS(F4写路径守卫P2): assertCourseNotArchived(COURSE_ARCHIVED) 加 task-instances POST/with-task POST/task-build-drafts POST 三路径 assertCourseAccess 之后; 真HTTP teacher1 archived课程(classId set避:1141): 新建实例→409 COURSE_ARCHIVED / with-task原子发布→409 中文该课程已删除(在回收站中)请先恢复后再操作 / AI起草→409; 恢复后AI draft POST→200 guard通过draft创建(证archive-driven可逆); tsc0/vitest1202全绿(+3守卫测试+2 API mock export同步); 范围克制只3路径其他写端靠assertCourseAccess+列表移除保护认可; 环境观察(非代码): 恢复后一次请求遇Next load-manifest SyntaxError(webpack dev增量build manifest瞬时损坏)retry即200生产build无; fixture purge 0 leftover 活跃9=基线. 另: 详情页删除文案缺口(EditorHero 删除课程按钮→dialog此操作不可恢复+将被服务端拒绝, 但行为已是归档可恢复)=team-lead点名要修的补丁尚未落地, 已SendMessage builder补, 不影响U5本身PASS但阻塞整体收尾	-
2026-05-25T03:00:00Z	course-archive-u4	r3	PASS	qa	U4 终轮 PASS(clean-restart 真浏览器): :1141 预存崩修复正向验(自建 classId=null 课程详情页 200 OK console error none, 修前必崩 Cannot read null id; 4处deref全null-safe 835/860/1143/1145) + 详情页删除文案 correctness 修(弹窗归档可恢复语义无不可恢复/将被拒绝, 点确认 DB archived=true 归档非硬删) + U4流程回归(archived在回收站→restore→回active) + U5三写路径守卫回归(新建实例/with-task/AI起草→全409 COURSE_ARCHIVED) + D6 replace真路径回归(删含内容无实例章节200级联删B保留A) + 过时.spec确认(删qa-unit5a-delete+qa-unit5a-r2-spotcheck, 保留unit2-verify=TaskInstance生命周期无关非stale正确); tsc0/vitest1202全绿0回归; 全部ZZ fixture purge 0 leftover 活跃9=基线. U1-U5全PASS, 整体收口	-
2026-05-25T03:08:00Z	course-archive-wizard-regress	r1	PASS	qa	任务向导回归(team-lead 终轮重点风险#4): 833/858→835/860 handleAddTask/handleOpenDraft 从 course.class.id 改 course.class?.id ?? courseClasses[0]?.classId ?? "". 真浏览器端到端: classId=null 课程(含CourseClass链接金融2024A班)→详情页200无崩→展开章节点在课前添加任务→向导4步(模拟对话→基本信息→场景配置→预览)全程无崩无console error→创建并发布→with-task 201→DB instanceCreated=true classId=deedd844(=courseClasses[0]回退值 classIdCorrect=true 非空串) courseId对 status=published. fallback源 /classes 返回 count1 firstClassId匹配. 证明 classId=null 课程上任务创建核心流不回归; fixture+throwaway Task purge 0 leftover 活跃9=基线	-
2026-07-14T02:40:16Z	audit-2026-07	r1	DONE	coordinator	全面审查完成: 5 Opus agent 并行(arch/scale/db/product/insights)+AUDIT.md汇总; 72原始发现→P0×10/P1×18簇/P2×26+QuickWin×12+路线图R0-R12; 关键P0: 生产MIMO sk-key 402事故进行中(待tp-key)/quiz发布确定性400(升P0)/全库零备份/成绩无痕硬删/连接池~300并发全站崩/AI评分无上限扇出/周报数值AI算术/三套均分口径; 冗余疑虑3组(analytics v1v2/4AI页/SB双端)全裁都留; 34页28成熟; 环境插曲: :3000是Multica(L-004)+本地库用户同意reset重建+product agent限额掐断后从jsonl transcript恢复零丢失; 未尽: AI e2e待key/sim-subj发布路径/自动判分尾巴/活数据对账	-
